comodidad	安慰 (ān wèi)
Luchar / Esforzarse. \n Matiz: Trabajar arduamente y con perseverancia por un ideal.	奋斗 (fèn dòu)
Estilo. \n Matiz: Rasgos distintivos de un artista, época o personalidad.	风格 (fēng gé)
Costumbre. \n Matiz: Tradiciones y hábitos culturales de un pueblo o región.	风俗 (fēng sú)
Riesgo. \n Matiz: Posibilidad de sufrir una pérdida o contratiempo.	风险 (fēng xiǎn)
Negar / Negativo. \n Matiz: Rechazar la validez de algo o dar una respuesta negativa.	否定 (fǒu dìng)
Desmentir / Negar. \n Matiz: Declarar que un hecho no es cierto o que no se hizo algo.	否认 (fǒu rèn)
Vestimenta / Ropa. \n Matiz: Término formal para referirse a la indumentaria.	服装 (fú zhuāng)
Bendición / Fortuna. \n Matiz: Estado de felicidad y buena suerte.	福 (fú)
Invertir / Entregar. \n Matiz: Dar tiempo, amor o esfuerzo sin esperar algo a cambio.	付出 (fù chū)
Carga / Peso. \n Matiz: Responsabilidad pesada o coste económico difícil de sostener.	负担 (fù dān)
#155. Desarrollar (software), explotar (recursos), abrir camino. \n Este es tu término de cabecera en DevOps. Se refiere a crear algo desde cero o explotar un recurso que estaba oculto (software, aplicaciones, tierras).	开发 (kāi fā)
#156. Desarrollar e investigar, elaborar (un prototipo). \n Es más formal y técnico. Implica investigación científica (R&D) y fabricación de algo complejo (un chip, una medicina, un cohete).	研制 (yán zhì)
#141. Voltear / Dar la vuelta / Traducir. \n Es el movimiento de "voltear". Se usa para pasar las páginas de un libro, darle la vuelta a la carne en la sartén. También significa "traducir" (voltear el significado a otro idioma).	翻 (fān)
#144. Curva / Curvo / Curvar. \n Puede ser un sustantivo (una curva) o un adjetivo (curvado). Se usa para describir una carretera con curvas, una luna creciente o una persona con la espalda encorvada.	弯 (wān)
#66. En cambio. \n Indica que el resultado de una acción fue exactamente lo opuesto a lo que se esperaba. \n siempre va antes del verbo o del adjetivo en la segunda parte de la oración.	反而 (fǎn ér) \n	我帮了他，他反而生气了。
Propuesta, esquema, solución, protocolo, proyecto. \n Es un término más formal y específico. No es solo "lo que quiero hacer", sino el método detallado o el diseño de cómo resolver un problema. Suele referirse a un documento o una propuesta técnica que debe ser aprobada.	方案 (fāng àn)
Duplicar / Copiar. \n Matiz: Crear una réplica exacta, muy usado en informática (Ctrl+C).	复制 (fù zhì)
Rico / Abundante. \n Matiz: Poseer muchos bienes o una gran cantidad de algo positivo.	富 (fù)
Esposos / Matrimonio. \n Matiz: Término formal para referirse a la pareja casada.	夫妇 (fū fù)
Mejorar / Perfeccionar. \n Matiz: Optimizar un proceso, técnica o herramienta.	改进 (gǎi jìn)
Mejorar / Progresar. \n Matiz: Elevar la calidad de una situación (ej: nivel de vida).	改善 (gǎi shàn)
Corregir / Enmendar. \n Matiz: Rectificar específicamente un error o una mala conducta.	改正 (gǎi zhèng)
Tapar / Construir. \n Matiz: Cubrir algo con una tapa o edificar una construcción.	盖 (gài)
Resumir / Generalizar. \n Matiz: Extraer los puntos esenciales de un tema extenso.	概括 (gài kuò)
Concepto / Noción. \n Matiz: Idea abstracta o definición general de algo.	概念 (gài niàn)
高級 / De lujo. \n Matiz: Calidad superior, tecnología avanzada o rango elevado.	高级 (gāo jí)
Despedirse. \n Matiz: Decir adiós formalmente o antes de una partida larga.	告别 (gào bié)
Especialmente / Extraordinariamente. \n Matiz: Grado que destaca sobre lo normal.	格外 (gé wài)
Separar / Estar a una distancia. \n Matiz: Intervalo de espacio o tiempo entre dos cosas.	隔 (gé)
Individual / Excepcional. \n Matiz: Casos muy específicos o personas aisladas.	个别 (gè bié)
Personal / Individuo. \n Matiz: Lo relativo a uno mismo frente al grupo.	个人 (gè rén)
Personalidad / Carácter. \n Matiz: Rasgos distintivos que definen a una persona.	个性 (gè xìng)
Cada uno / Respectivo. \n Matiz: Enfatiza que cada persona actúa por su cuenta.	各自 (gè zì)
Raíz / Clasificador para objeto largo, delgado y relativamente recto o rígido (se enfoca en que es una unidad individual). \n Matiz: Base de plantas o unidad para objetos largos y finos.	根 (gēn)
Proyecto / Ingeniería. \n Matiz: Obra compleja de construcción o desarrollo técnico.	工程 (gōng chéng)
Ingeniero. \n Matiz: Profesional especializado en ingeniería.	工程师 (gōng chéng shī)
Herramienta. \n Matiz: Instrumento físico o medio para lograr un fin.	工具 (gōng jù)
Industria. \n Matiz: Sector económico dedicado a la transformación de materias.	工业 (gōng yè)
Anunciar / Proclamar. \n Matiz: Hacer pública una decisión oficial o información.	公布 (gōng bù)
Funcionario público. \n Matiz: Empleado que trabaja para el Estado.	公务员 (gōng wù yuán)
Función / Utilidad. \n Matiz: Propósito o capacidad específica de un sistema o máquina.	功能 (gōng néng)
Justo, equitativo, imparcial. \n Se refiere a la justicia ética o social. Se usa para hablar de reglas, deportes, salarios o trato entre personas.	公平 (gōng píng)
Constituir / Formar. \n Matiz: Se refiere a los elementos que integran un todo (ej. átomos en una molécula).	构成 (gòu chéng)
Antiguo. \n Matiz: Raíz que indica tiempos remotos o de hace muchos siglos.	古 (gǔ)
Tiempos antiguos. \n Matiz: Periodo histórico del pasado remoto (Antigüedad).	古代 (gǔ dài)
Fijo / Estable. \n Matiz: Algo que no cambia de posición, horario o estado.	固定 (gù dìng)
Hogar / Tierra natal. \n Matiz: El lugar de origen, cargado de un matiz nostálgico.	故乡 (gù xiāng)
Extraño / Culpar. \n Matiz: Algo raro o sorprendente; también el acto de culpar a alguien.	怪 (guài)
Cerrar / Clausurar. \n Matiz: Término formal para cerrar puertas, ventanas o negocios.	关闭 (guān bì)
Observar. \n Matiz: Mirar con atención y detalle para analizar o estudiar algo.	观察 (guān chá)
Punto de vista. \n Matiz: formal, lógico/argumentativo, académico o profesional	观点 (guān diǎn)
Concepto / Mentalidad. \n Matiz: Idea arraigada o forma tradicional de entender la realidad.	观念 (guān niàn)
Visitar / Bienvenida. \n Matiz: Término muy cortés usado por comercios para recibir clientes.	光临 (guāng lín)
Brillante / Luminoso. \n Matiz: Referido a la luz física o a un futuro lleno de esperanza.	光明 (guāng míng)
Plaza. \n Matiz: Espacio abierto, amplio y público en el centro de una ciudad.	广场 (guǎng chǎng)
Vasto / Extenso. \n Matiz: Aplicado a grandes territorios o a la "gran masa" de la población.	广大 (guǎng dà)
Ley natural / Patrón. \n Matiz: Algo que sucede de forma regular, rítmica y predecible.	规律 (guī lǜ)
Escala / Magnitud. \n Matiz: El tamaño, alcance o importancia de una organización o proyecto.	规模 (guī mó)
Regla, pauta, norma de conducta. \n Matiz: Se trata de directrices o instrucciones específicas que se deben seguir en una situación concreta, un juego, un deporte, una actividad o una norma de convivencia diaria. Son más puntuales y prácticas.	规则 (guī zé)
Efectivamente / Tal como se esperaba. \n Matiz: Confirma que una suposición se cumplió.	果然 (guǒ rán)
Excesivo. \n Matiz: Ir más allá de lo que se considera aceptable, justo o razonable.	过分 (guò fèn)
Aduana. \n Matiz: Oficina pública encargada del control de fronteras y mercancías.	海关 (hǎi guān)
Mariscos. \n Matiz: Alimentos provenientes de animales marinos comestibles.	海鲜 (hǎi xiān)
Curioso. \n Matiz: Tener el deseo de saber o aprender sobre algo desconocido.	好奇 (hào qí)
Cerrar / Unir / Combinar. \n Matiz: Juntar dos partes que encajan (como un libro o las manos).	合 (hé)
Legal / Legítimo. \n Matiz: Que está dentro de lo permitido por la ley.	合法 (hé fǎ)
Razonable. \n Matiz: Que es justo, lógico o tiene sentido común.	合理 (hé lǐ)
Contrato. \n Matiz: Documento legal que establece un acuerdo formal entre partes.	合同 (hé tóng)
Cooperar. \n Matiz: Trabajar juntos para alcanzar un objetivo compartido.	合作 (hé zuò)
#122. Fruto. \n Esta palabra es más profunda y se usa en contextos botánicos o literarios.	果实 (guǒ shí)
#203. "contener", "incluir" o "tener dentro" (verbo raíz). \n Matiz físico: Tener algo en la boca sin tragarlo (como un caramelo). \n Matiz de contenido: Lo que incluye un producto, una lista o un archivo. \n Matiz abstracto: Incluir sentimientos o significados ocultos.	含 (hán)
#204. contener (verbo completo). \ Se usa para hablar de la composición interna de algo, como sustancias o elementos químicos.	含有 (hán yǒu)
#205. Incluir, constar de. \n Se usa cuando el objeto es un sistema, un grupo, una lista o un concepto complejo que se puede dividir en partes discretas. \n un poco más formal o abstracto.	包含 (bāo hán)  
#206. contenido (sustantivo)	含量 (hán liàng)
v. Contar.	数 (shǔ)
#171. Consecuencia, resultado (generalmente negativo o indeseado). \n A diferencia de la palabra neutra para "resultado" (结果 / jiéguǒ),	后果 (hòuguǒ) suele implicar algo grave, serio o un problema que surge tras una acción. Es el "efecto secundario" amargo.	后果 (hòu guǒ)
Aliviar / Mitigar. \n Matiz: Disminuir la intensidad de una presión, dolor o situación tensa.	缓解 (huǎn jiě)
Pepino. \n Matiz: Vegetal alargado de color verde (lit. "melón amarillo").	黄瓜 (huáng guā)
Oro. \n Matiz: El metal precioso; también usado para "época dorada".	黄金 (huáng jīn)
Tipo de cambio. \n Matiz: Relación de valor entre dos monedas diferentes.	汇率 (huì lǜ)
Boda / Matrimonio. \n Matiz: La ceremonia de casamiento.	婚礼 (hūn lǐ)
Institución / Mecanismo. \n Matiz: Organización formal o la estructura interna de un sistema.	机构 (jī gòu)
Máquina. \n Matiz: Aparato mecánico que realiza un trabajo.	机器 (jī qì)
Intenso / Feroz. \n Matiz: Se usa para competencias, debates o luchas con mucha fuerza.	激烈 (jī liè)
Aprobar (examen). \n Matiz: Obtener la nota mínima necesaria para pasar.	及格 (jí gé)
Nivel / Grado / Clase. \n Matiz: Rango en una jerarquía o año escolar.	级 (jí)
adv. Estar a punto de (Formal). \n Matiz: Indica que un evento va a suceder de forma inminente, usado en contextos formales o escritos.	即将 (jí jiāng) \n 比赛即将开始。El partido está a punto de empezar. (Muy típico en estadios o transmisiones)
Sumamente. \n Matiz: Adverbio de grado que precede al adjetivo.	极其 (jí qí)
A toda prisa. \n Matiz: Realizar una acción de forma apresurada por falta de tiempo.	急忙 (jí máng)
Reunirse / Conjunto. \n Matiz: Juntar a personas en un lugar o un set de elementos.	集合 (jí hé)
Colectivo / Grupo. \n Matiz: Relativo a un conjunto de personas, opuesto a lo individual.	集体 (jí tǐ)
Concentrar / Enfocar. \n Matiz: Reunir algo en un punto o centrar la atención.	集中 (jí zhōng)
Calcular / Contar. \n Matiz: Realizar operaciones matemáticas o planear algo.	计算 (jì suàn)
Grabar / Registro. \n Matiz: Poner por escrito o en video unos hechos para que consten.	记录 (jì lù)
Registrar / Documentar. \n Matiz: Hacer constar algo en la historia o en libros oficiales.	记载 (jì zǎi)
#40. p.med. grupo de delincuentes	伙 (huǒ)
#37. Compañero de acción, socio. Alguien con quien te unes para lograr un objetivo específico.	伙伴 (huǒ bàn)
#214. Bondadoso. \n Indica la disposición a ayudar a los demás, mostrando gran preocupación por los asuntos ajenos o el bienestar público, y la voluntad de asistir activamente. Subraya la cualidad bondadosa de querer actuar para socorrer a otros.	热心 (rè xīn)
#76. El "Valor" como Concepto o Importancia. \n Es un sustantivo abstracto. No se refiere al precio de etiqueta, sino a la utilidad, importancia o significado que algo tiene para la sociedad o para una persona.	价值 (jià zhí) \n \n	你提供的信息很有价值。\n (Nǐ tígōng de xìnxī hěn yǒu jiàzhí.) \n La información que proporcionaste tiene mucho valor (es muy útil/importante).
Récord / Registro. \n Matiz: Se usa para marcas deportivas o registros históricos oficiales.	纪录 (jì lù)
Conmemorar / Recordar. \n Matiz: Acción de honrar o mantener viva la memoria de alguien o algo.	纪念 (jì niàn)
Trimestre. \n Matiz: División del año en periodos de tres meses (uso financiero o académico).	季度 (jì dù)
Procesar / Elaborar. \n Matiz: Transformar una materia prima o mejorar un producto ya existente.	加工 (jiā gōng)
Tareas del hogar. \n Matiz: Labores domésticas como limpiar, cocinar o lavar.	家务 (jiā wù)
Si... / En caso de. \n Matiz: Introduce una suposición hipotética o formal.	假如 (jiǎ rú)
Estante / Clasificador. \n Matiz: Soporte físico; unidad para aviones, pianos o máquinas grandes.	架 (jià)
Fuerte / Resiliente. \n Matiz: Fortaleza mental y moral para afrontar adversidades sin rendirse.	坚强 (jiān qiáng)
Adelgazar. \n Matiz: Reducir el peso o la grasa corporal (lit. "reducir grasa").	减肥 (jiǎn féi)
Currículum vitae / Resumen. \n Matiz: Documento que resume la trayectoria laboral o educativa.	简历 (jiǎn lì)
Construir / Fundar. \n Matiz: Raíz para edificar u organizar instituciones y sistemas.	建 (jiàn)
Establecer / Crear. \n Matiz: Fundar algo abstracto como una relación, sistema, reputación o lazo.	建立 (jiàn lì)
Construcción / Desarrollo. \n Matiz: Edificación de infraestructuras o el progreso de un país.	建设 (jiàn shè)
Gradualmente. \n Matiz: Indica un cambio suave que sucede poco a poco en el tiempo.	渐渐 (jiàn jiàn)
Casi / Cerca de. \n Matiz: Indica una aproximación cercana en número, cantidad o tiempo.	将近 (jiāng jìn)
Hablar / Dar un discurso. \n Matiz: Dirigirse a una audiencia o tener una charla seria.	讲话 (jiǎng huà)
Esmerado / Detallista. \n Matiz: Prestar mucha atención a la calidad, la etiqueta o los detalles.	讲究 (jiǎng jiū)
Conferencia / Seminario. \n Matiz: Charla educativa impartida por un experto sobre un tema.	讲座 (jiǎng zuò)
Intercambiar. \n Matiz: Dar una cosa y recibir otra de la misma naturaleza a cambio.	交换 (jiāo huàn)
Relacionarse / Salir con. \n Matiz: Mantener una relación continua (amistosa o romántica).	交往 (jiāo wǎng)
Transacción / Trato. \n Matiz: Intercambio comercial de bienes, servicios o valores.	交易 (jiāo yì)
Ángulo / Perspectiva. \n Matiz: Punto de vista conceptual o medida física de un ángulo.	角度 (jiǎo dù)
Personaje / Rol. \n Matiz: Papel que desempeña alguien en una obra artística o en la sociedad.	角色 (jué sè)
Material didáctico. \n Matiz: Libros o recursos utilizados para el proceso de enseñanza.	教材 (jiào cái)
#168. Etapa, fase, período. \n Se refiere a una división del tiempo o de un proceso. Es una parte específica dentro de un camino más largo.	阶段 (jiē duàn)
#169. Escenario, plataforma, palestra. \n Literalmente es el lugar donde los actores realizan la 演出 (yǎnchū). Metafóricamente, es el "escenario mundial" o la plataforma donde alguien demuestra su talento.	舞台 (wǔ tái)
#172. Resultado, efecto, conclusión, consecuencia (neutra). \n A diferencia de	后果 (hòuguǒ), esta palabra es totalmente neutral. Puede ser un resultado fantástico, uno desastroso o simplemente un dato estadístico. Es el término estándar para "el final de una historia" o "el producto de una acción".	结果 (jié guǒ)
Recepcionar / Atender. \n Matiz: Recibir a invitados o clientes de manera formal.	接待 (jiē dài)
Acercarse. \n Matiz: Aproximarse físicamente o estar cerca de alcanzar un nivel.	接近 (jiē jìn)
Ahorrar / Economizar. \n Matiz: Evitar el desperdicio de dinero, tiempo o materiales.	节省 (jié shěng)
Nudo / Unir / Atar. \n Matiz: Acción de enlazar; también raíz para "concluir".	结 (jié)
Estructura. \n Matiz: La disposición y relación de las partes de un todo.	结构 (jié gòu)
Combinar / Unir. \n Matiz: Integrar dos o más elementos para que funcionen juntos.	结合 (jié hé)
Conclusión. \n Matiz: Juicio o decisión final tras un proceso de análisis.	结论 (jié lùn). \n	我们得出了一个结论
adv. Lo antes posible. \n Matiz: Realizar una acción con la mayor brevedad permitida.	尽快 (jǐn kuài)
Hacer todo lo posible. \n Matiz: Poner todo el esfuerzo y medios al alcance de uno.	尽力 (jìn lì)
En la medida de lo posible. \n Matiz: Tratar de alcanzar un límite o cantidad máxima.	尽量 (jǐn liàng)
Apretado / Tenso. \n Matiz: Falta de espacio, de tiempo o de dinero; también una cuerda tirante.	紧 (jǐn)
Urgente / Emergencia. \n Matiz: Situación que requiere atención inmediata por peligro o crisis.	紧急 (jǐn jí)
Estrecho / Íntimo. \n Matiz: Relación muy cercana entre personas o conexión fuerte entre ideas.	紧密 (jǐn mì)
Edad Moderna. \n Matiz: Periodo histórico reciente.	近代 (jìn dài)
Progreso / Mejoría. \n Matiz: Avance positivo en estudios, trabajo o sociedad.	进步 (jìn bù)
Importar / Entrada. \n Matiz: Introducir bienes del extranjero o el acceso a un lugar.	进口 (jìn kǒu)
Un paso más / Más allá. \n Matiz: Profundizar o avanzar un grado adicional en algo.	进一步 (jìn yí bù)
Clásico. \n Matiz: Obra o ejemplo que es representativo, de gran calidad y perdurable.	经典 (jīng diǎn)
Gestionar / Administrar. \n Matiz: Operar un negocio o comercio para obtener beneficios.	经营 (jīng yíng)
Energía / Vigor. \n Matiz: Capacidad física o mental para realizar actividades.	精力 (jīng lì)
Espíritu / Ánimo / Mental. \n Matiz: Estado psicológico o esencia de una persona.	精神 (jīng shén)
Bar. \n Matiz: Establecimiento donde se sirven bebidas y hay música.	酒吧 (jiǔ bā)
Salvar / Rescatar. \n Matiz: Librar a alguien de un peligro o de la muerte.	救 (jiù)
Empleo / Trabajar. \n Matiz: El acto de conseguir o tener un puesto de trabajo.	就业 (jiù yè)
Residente / Habitante. \n Matiz: Persona que vive habitualmente en un lugar.	居民 (jū mín)
Residir / Vivir. \n Matiz: Acción formal de habitar un domicilio.	居住 (jū zhù)
Gigantesco / Enorme. \n Matiz: Escala o magnitud extremadamente grande.	巨大 (jù dà)
Poseer / contar con. \n Matiz: Tener las condiciones, requisitos o cualidades necesarias.	具备 (jù bèi)
Específico / Concreto. \n Matiz: Detallado y preciso, opuesto a lo general.	具体 (jù tǐ)
Tener / Poseer. \n Matiz: Suele usarse para cualidades abstractas e importantes.	具有 (jù yǒu)
Teatro. \n Matiz: El edificio o recinto donde se representan obras.	剧场 (jù chǎng)
Según se dice. \n Matiz: Indica que la información es de oídas o rumores.	据说 (jù shuō)
Final (deporte). \n Matiz: El último partido que decide al ganador de un torneo.	决赛 (jué sài)
Determinación / Decisión firme. \n Matiz: El firme propósito mental de hacer algo.	决心 (jué xīn)
Absolutamente. \n Matiz: Totalmente, sin ninguna duda o excepción.	绝对 (jué duì)
Abierto. \n Matiz: Actitud liberal o política de apertura económica/social.	开放 (kāi fàng)
Agua hervida. \n Matiz: Agua que ha llegado a ebullición, lista para beber o té.	开水 (kāi shuǐ)
Abrir un negocio. \n Matiz: El primer día de actividad de una tienda o empresa.	开业 (kāi yè)
Lanzar / Desarrollar. \n Matiz: Iniciar y llevar a cabo una campaña, actividad o investigación.	开展 (kāi zhǎn)
Mirar / Ver / Leer. \n Matiz: Acción visual o leer libros/periódicos.	看 (kàn)
Visitar / Saludar a. \n Matiz: Visita de cortesía a familiares, enfermos o mayores.	看望 (kàn wàng)
Es un verbo o preposición muy versátil que significa "apoyarse", "estar junto a" o "depender de". Se usa muchísimo por sí solo, tanto para acciones físicas (como recostarse contra algo o pedir un asiento específico en un tren) como para situaciones abstractas donde confías en que alguien resuelva un problema.	靠 (kào) \n	靠窗的座位 (kào chuāng de zuòwèi - asiento junto a la ventana)
Recientemente / Últimamente / A corto plazo \n Matiz: Período de tiempo cercano, más formal que 最近.	近期 (jìn qī) \n 我们 近期 会开一个会。- Tendremos una reunión pronto/a corto plazo.
Es evidente que. \n Matiz: Conector lógico que introduce una conclusión obvia tras un razonamiento.	可见 (kě jiàn)
Funciona como un adjetivo que significa "confiable", "seguro" o "fidedigno". Literalmente se traduce como algo o alguien en quien "te puedes apoyar" . Es la palabra exacta que necesitas para describir a un compañero de trabajo que nunca falla, o para asegurar que una noticia o método no tiene margen de error.	可靠 (kě kào) \n	可靠的朋友 (kěkào de péngyou - un amigo confiable)
Terrible / Temible. \n Matiz: Algo que inspira miedo o un gran temor.	可怕 (kě pà)
Superar / Vencer. \n Matiz: Dominar una dificultad, un defecto o un sentimiento negativo.	克服 (kè fú)
Espacio. \n Matiz: Dimensión física o figurada en la que se encuentran los objetos.	空间 (kōng jiān)
Bolsillo. \n Matiz: Parte de la ropa destinada a guardar objetos pequeños.	口袋 (kǒu dài)
Ampliar / Expandir. \n Matiz: Aumentar el tamaño, escala o influencia de algo.	扩大 (kuò dà)
Origen / Fuente. \n Matiz: El lugar o causa de donde emana una información o recurso.	来源 (lái yuán)
Gente común / Pueblo. \n Matiz: Ciudadanos comunes, opuesto a los gobernantes.	老百姓 (lǎo bǎi xìng)
Jefe / Dueño. \n Matiz: Propietario de un negocio o superior en el trabajo.	老板 (lǎo bǎn)
Esposa / Mujer. \n Matiz: Forma coloquial y cariñosa de llamar a la cónyuge mujer.	老婆 (lǎo pó)
Optimista. \n Matiz: Actitud positiva ante la vida y el futuro.	乐观 (lè guān)
Lágrimas. \n Matiz: Sustantivo para el líquido del llanto.	泪水 (lèi shuǐ)
Clase / Categoría / Tipo. \n Matiz: Grupo de cosas con características comunes.	类 (lèi)
Similar / Parecido. \n Matiz: Que tiene rasgos comunes con otra cosa.	类似 (lèi sì)
Centímetro.	厘米 (lí mǐ)
Teoría. \n Matiz: Principios abstractos de una ciencia o materia.	理论 (lǐ lùn)
Razón / Motivo. \n Matiz: Justificación o explicación de por qué ocurre algo.	理由 (lǐ yóu)
Fuerza / Poder. \n Matiz: Capacidad física o influencia abstracta.	力 (lì)
Fuerza / Potencia. \n Matiz: Capacidad de actuar con vigor físico o social.	力量 (lì liàng)
Interés / Beneficio. \n Matiz: Provecho o ganancia para una persona o grupo.	利益 (lì yì)
Utilizar / Aprovechar. \n Matiz: Hacer uso de algo para un fin (puede ser neutral o egoísta).	利用 (lì yòng)
s. Comida occidental	西餐 (xī cān)
#74. "ancho", "espacioso" o "amplio". \n Es el adjetivo básico y directo.	宽 (kuān)
#147. Divorciarse / Divorcio. \n Al ser un verbo-objeto, tiene una regla gramatical de oro: no puedes poner a la otra persona después del verbo. No se dice "Yo divorcié a él", sino "Yo con él divorcié".	离婚 (lí hūn). \n	他跟她离婚了。
#104. "Adentro". \n Es muy informal y cálido. Se usa mucho en el lenguaje hablado familiar o entre amigos, especialmente en el norte.	里头 (lǐ tou)
"Ambas partes", "ambos bandos". \n Es un término formal. Se usa en contextos legales (contratos), deportivos (equipos), diplomáticos o de negocios. No se refiere al espacio, sino a las entidades o personas que participan en una relación o conflicto.	双方 (shuāng fāng)
A toda prisa / De inmediato. \n Matiz: Reacción rápida y diligente ante una situación.	连忙 (lián máng)
Continuo / Seguido. \n Matiz: Una serie de eventos que ocurren sin interrupción temporal.	连续 (lián xù)
Unir / Aliarse. \n Matiz: Combinación de fuerzas u organizaciones para un fin común.	联合 (lián hé)
Grano / Cereales. \n Matiz: Cultivos básicos para la alimentación humana (arroz, trigo).	粮食 (liáng shí)
Cantidad / Medir. \n Matiz: El volumen (liàng) o el acto de medir con un instrumento (liáng).	量 (liàng)
Provisional / De repente. \n Matiz: Que ocurre por poco tiempo o de forma inesperada al final.	临时 (lín shí)
Cuello / Recibir. \n Matiz: Parte de la prenda o el acto de recoger/aceptar algo oficial.	领 (lǐng)
Liderazgo / Dirigente. \n Matiz: El acto de guiar a un grupo o la persona con autoridad.	领导 (lǐng dǎo)
Liderar / Estar en cabeza. \n Matiz: Ir por delante de los demás en una competición o nivel.	领先 (lǐng xiān)
Circular / Difundirse. \n Matiz: Historias, noticias o tradiciones que pasan de unos a otros.	流传 (liú chuán)
Dragón. \n Matiz: Criatura mitológica, símbolo de poder y fortuna en China.	龙 (lóng)
Grabar / Registrar. \n Matiz: Raíz para capturar datos, audio o ser admitido.	录 (lù)
Admitir / Enrolar. \n Matiz: Ser aceptado formalmente tras un examen o solicitud de empleo.	录取 (lù qǔ)
Grabación de audio. \n Matiz: El registro sonoro o el acto de grabar voz/música.	录音 (lù yīn)
Ruta / Itinerario. \n Matiz: El camino planeado o la dirección de una línea de transporte.	路线 (lù xiàn)
Agencia de viajes.	旅行社 (lǚ xíng shè)
Tesis / Artículo académico. \n Matiz: Trabajo de investigación formal escrito.	论文 (lùn wén)
Satisfacer / Cumplir. \n Matiz: Abastecer una necesidad o llegar a un estándar mínimo.	满足 (mǎn zú)
Defecto / Fallo / Manía. \n Matiz: Error técnico, mala costumbre o rotura leve.	毛病 (máo bìng)
No haber forma / Imposible. \n Matiz: Coloquial; indica que no hay solución o remedio.	没法儿 (méi fǎ ér)
Medios de comunicación. \n Matiz: El conjunto de prensa, TV, radio e internet.	媒体 (méi tǐ)
Bellas artes / Arte visual.	美术 (měi shù)
Fan / Entusiasta / Perdido. \n Matiz: Seguidor de algo o estar confundido/fascinado.	迷 (mí)
Secreto. \n Matiz: Información que se oculta para que otros no la sepan.	秘密 (mì mì)
Secretario/a.	秘书 (mì shū)
Estrecho / Íntimo. \n Matiz: Relación o contacto muy cercano y frecuente.	密切 (mì qiè)
Área / Superficie. \n Matiz: La medida de la extensión de una figura plana.	面积 (miàn jī)
Estar frente a / Afrontar. \n Matiz: Encontrarse ante una situación o peligro inminente.	面临 (miàn lín)
#31. tren. \n Tiene un matiz técnico y formal.	列车 (liè chē)
v. Recomendar	推荐 (tuī jiàn)
Estrella (celebridad), famoso, ídolo. \n Se refiere a una persona famosa en el mundo del espectáculo, los deportes o la vida pública. Es una "estrella" en sentido figurado.	明星 (míng xīng)
Describir. \n Matiz: Relato objetivo de los hechos o de una situación.	描述 (miáo shù)
Denominación / Nombre. \n Matiz: Nombre formal de objetos, organizaciones o términos técnicos.	名称 (míng chēng)
Tarjeta de presentación. \n Matiz: Tarjeta profesional con datos de contacto.	名片 (míng piàn)
Claro / Definido. \n Matiz: Que no deja lugar a dudas; preciso y determinado.	明确 (míng què)
adj. Obvio / Evidente. \n Matiz: Algo que se percibe fácilmente a simple vista o por lógica.	明显 (míng xiǎn)
Destino. \n Matiz: El curso de la vida de una persona, a menudo visto como predeterminado.	命运 (mìng yùn)
Tocar / Acariciar. \n Matiz: Sentir algo con la palma de la mano o buscar a tientas.	摸 (mō)
Varón / Hombre. \n Matiz: Término algo más formal o genérico para el sexo masculino.	男子 (nán zi)
Grado de dificultad.	难度 (nán dù)
Hacer ruido / Alboroto. \n Matiz: Situación ruidosa, enfadarse o sufrir una dolencia.	闹 (nào)
Despertador.	闹钟 (nào zhōng)
Interior / Interno. \n Matiz: Lo que está dentro de una organización o estructura.	内部 (nèi bù)
Capaz / Competente. \n Matiz: Persona con grandes habilidades para el trabajo.	能干 (néng gàn)
Década / Era / Época. \n Matiz: Periodo de tiempo histórico o biográfico.	年代 (nián dài)
Edad. \n Matiz: Los años que tiene una persona.	年纪 (nián jì)
Leer en voz alta / Estudiar. \n Matiz: Acción de recitar o cursar estudios.	念 (niàn)
Espeso / Denso. \n Matiz: Gran concentración de sabor, olor o color.	浓 (nóng)
Mujer / Femenino. \n Matiz: Término genérico o deportivo para las mujeres.	女子 (nǚ zǐ)
Ordenar / Alinear. \n Matiz: Poner elementos en una secuencia lógica.	排列 (pái liè)
Enviar / Mandar. \n Matiz: Asignar a alguien una misión o puesto.	派 (pài)
#30. A principios de año	年初 (nián chū)
#174. Campesino, agricultor. \n Se refiere a la persona. Históricamente, en China, esta palabra define una clase social y una identidad muy fuerte, no solo un oficio.	农民 (nóng mín)
#175. Agricultura (como industria o sector económico). \n Es el término más formal y técnico. Se usa para hablar de la ciencia agrícola, la economía o la industria del sector primario.	农业 (nóng yè)
#10. capacitación, entrenamiento, formación. \n Funciona tanto como sustantivo (la capacitación) como verbo (capacitar/entrenar).	培训 (péi xùn)
Estar a salvo/en paz. Se usa para desear buen viaje o decir que no ha habido accidentes.	平安 (píng ān)
Cultivar / Fomentar. \n Matiz: Desarrollar habilidades, talentos o hábitos en alguien a largo plazo.	培养 (péi yǎng)
Coordinar. \n Matiz: Trabajar en conjunto armoniosamente para lograr un objetivo.	配合 (pèi hé)
Encontrarse con. \n Matiz: Específicamente ver a alguien de forma inesperada.	碰见 (pèng jiàn)
Aprobar / Autorizar. \n Matiz: Dar permiso oficial desde una autoridad superior.	批准 (pī zhǔn)
Calidad / Carácter. \n Matiz: Calidad de un producto o la integridad moral de una persona.	品质 (pǐn zhì)
